Ref,Title,FName,MName,LName,BDate,DDate,Male,Silent,CharTypeID,KnownAs,Comments,CDate,UDate,CName,UName
199,1,,,Barlow,,,1,1,,Mr. Barlow,Sophie's father,02/09/1999 00:00,11/17/06 16:07:35,DataEase,fishec50
200,14,L.,,Barrington,,,1,0,,Major Barrington,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
201,1,Alan,,Barton,,,1,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
202,16,Albert,,Bates,,,1,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
203,2,,,Beard,,,0,1,,Nanny Bellamy,,02/09/1999 00:00,04/15/99 11:07:47,DataEase,fishec50
204,1,Ronnie,,Beddoes,,,1,0,,Ronnie,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
205,1,Henry,,Bell,,,1,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
206,,Sue,,Bent,,,0,0,,Sue,,02/09/1999 00:00,01/16/06 11:54:40,DataEase,fishec50
207,1,Jim,,Benson,,,1,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
208,,Bill,,the student,,,1,0,,Bill,1960,02/09/1999 00:00,04/26/12 14:52:45,DataEase,fishec50
209,2,,,Blake,,,0,0,,Mrs Blake,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
210,3,Susan,,Blake,,,0,0,,Susan,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
211,2,Rose,,Blossom,,04/15/86 00:00:00,0,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
212,2,Mary,,Benson,,,0,0,,Mrs Benson,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
213,1,Joe,,Blower,,,1,0,,Joe,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
214,3,Clara,,Blower,,,0,1,,Clara,,02/09/1999 00:00,04/15/99 11:10:44,DataEase,fishec50
215,1,Charlie,,Box,,,1,1,,Charlie,,02/09/1999 00:00,04/15/99 11:14:52,DataEase,fishec50
216,2,Joan,,Burton,,,0,0,,Joan,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
217,1,Stephen,,Brett,,,1,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
218,1,Nigel,,Burton,,,1,0,,Nigel,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
219,3,Juliet,,Burton,05/07/1965 00:00,,0,1,,,,02/09/1999 00:00,04/15/99 11:17:52,DataEase,fishec50
220,1,Donald,,Brooks,,,1,0,,,First Appeared 09/10/58,02/09/1999 00:00,12/05/2012 15:18,DataEase,fishec50
221,1,,,Braddock,,,1,0,,Mr Braddock,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
222,1,Ricky,,Boyd,,,1,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
223,2,,,Bradshaw,,,0,1,,Mrs Bradshaw,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
224,1,,,Braithwaite,,,1,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
225,1,Charles,,Brown,,,1,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
226,4,Fay,,Brown,,,0,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
227,,Betty,,Brown,,,0,1,,Betty,,02/09/1999 00:00,04/15/99 11:16:27,DataEase,fishec50
228,1,Jim,,Brown,,,1,1,,,,02/09/1999 00:00,04/15/99 11:16:39,DataEase,fishec50
229,16,Geoff,,Bryden,,,1,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
230,,,,Brummie,,,1,0,,Brummie,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
231,,Josephine,,Bryant,,,0,0,,Josey,,02/09/1999 00:00,04/03/2007 13:16,DataEase,fishec50
232,3,Eve,,Buckland,,,0,1,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
233,6,Norris,,Buckland,,,1,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
234,3,Amy,,Butler,,,0,0,,,Amy was born in 1932,02/09/1999 00:00,04/15/99 09:55:23,DataEase,fishec50
235,,Marjorie,,Butler,,,0,0,,Marjorie,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
236,3,Mary,,Cherry,,,0,1,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
237,1,Alan,,Carey,,,1,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
238,1,Alec,,Coker,,,1,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
239,3,Kate,,Cruickshank,,,0,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
240,2,,,Candlemere,,,0,0,,Mrs Candlemere,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
241,,Elsie,,Catcher,,,0,0,,Old Mousetrap,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
242,5,David,,Cavendish,,,1,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
243,1,Harry,,Cobb,,,1,0,,Harry,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
244,1,George,,Coleman,,,1,0,,George,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
245,2,Angela,,Evans,,,0,0,,Angela,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
246,3,Clarice,,Conway,,,0,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
247,1,Stanley,,Cooper,,,1,0,,Stanley or Stan,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
248,2,Bess,,Cooper,,,0,0,,Bess,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
249,1,Simon,,Cooper,04/01/1992 00:00,,1,0,,Simon,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
250,1,Dick,,Corbey,,,1,0,,Dick,temporary manager at The Bull,02/09/1999 00:00,11/13/07 11:05:30,DataEase,fishec50
251,3,,,Crabbe,,,0,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
252,1,,,Crowe,,,1,0,,Mr Crowe,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
253,22,,,Czorva,,,0,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
254,1,Michael,,Daly,,,1,0,,Mike,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
255,,Bob,,Dancer,,,1,0,,Bob,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
256,1,Bob,,Daniels,,,1,0,,Bob,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
257,,District,,Officer,,,1,0,,District Officer,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
258,1,,,Denham,,,1,0,,Mr Denham,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
259,2,Eileen,,Dickson,,,0,1,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
260,5,Eric,,Harvey,,,1,0,,Doctor,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
261,,Monica,,Downes,,,0,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
262,1,Joe,,Dunnington,,,1,1,,,Travelling Blacksmith,02/09/1999 00:00,11/13/07 11:06:51,DataEase,fishec50
263,3,,,Dupont,,,0,1,,Miss Dupont,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
264,16,Colin,,Drury,,,1,0,,Colin / P.C. Drury,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
265,2,Barbara,,Drury,,,0,0,,Barbara,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
266,2,,,Ebbett,,,0,0,,Mrs Ebbett,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
267,,Eddie,,the Agricultural Student,,,1,1,,Eddie,,02/09/1999 00:00,04/26/12 14:53:02,DataEase,fishec50
268,1,Haydn,,Evans,,,1,0,,Haydn,Pat's uncle,02/09/1999 00:00,10/01/2010 12:09,DataEase,fishec50
269,1,Dylan,,Evans,,,1,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
270,1,Gwyn,,Evans,,,1,0,,Gwyn,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
271,1,David,,Escott,,,1,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
272,2,Maureen,,Travis,,,0,0,,Mo,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
273,1,Geoff,,Travis,,,1,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
274,,Shane,,the barman,,,0,1,,,,02/09/1999 00:00,04/26/12 14:53:16,DataEase,fishec50
275,2,Marie-Claire,,Beguet,,,0,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
279,1,John,,Tregorran,,,1,0,,,,02/09/1999 00:00,09/21/05 14:41:46,DataEase,fishec50
284,,Sammy,,The Cat,06/14/83 00:00:00,11/07/2000 00:00,1,1,,,Peggy's cat,02/09/1999 00:00,11/05/2008 16:16,DataEase,fishec50
285,,Simon,,Pemberton,,,1,0,,,,02/09/1999 00:00,04/10/2007 12:39,DataEase,fishec50
287,,Becky,,Travis,,,0,1,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
288,,Daniel,,Travis,,,0,1,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
290,,Sooty,,The Jackdaw,,,0,1,,,,02/09/1999 00:00,04/15/99 15:25:23,DataEase,fishec50
291,,Steve,,Oakley,,,1,0,,Steve,,02/09/1999 00:00,04/10/2007 12:39,DataEase,fishec50
293,2,,,Patterson,,,0,1,,,Lives in Glebelands,02/09/1999 00:00,07/05/2005 10:46,DataEase,fishec50
294,2,Satya,,Khanna,,,0,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
295,1,Robert,,Pullen,07/13/15 00:00:00,12/26/12 00:00:00,1,1,,Bob,lives in Manorfield Close,02/09/1999 00:00,04/04/2013 14:04,DataEase,fishec50
296,2,,,Jenkins,,,0,1,,Mrs Jenkins,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
297,,Jim,,Benfield,,,1,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
298,,Leonie,,Snell,,,0,0,,Len,Born 1975,02/09/1999 00:00,11/14/13 12:15:12,DataEase,fishec50
299,3,Coriander,,Snell,,,0,0,,Cas,Robert's daughter by his first marriage born 1974,02/09/1999 00:00,08/28/13 15:48:20,DataEase,fishec50
300,1,Chris,,Mills,,,1,0,,,Captin of the Darrington cricket team,02/09/1999 00:00,05/03/2006 11:29,DataEase,fishec50
301,16,,,Davies,,,1,0,,,Community police office,02/09/1999 00:00,05/20/99 10:07:28,DataEase,fishec50
302,,Spike,,Kate's friend,,,1,1,,Spike,Spike was born in 1974 Friend of Kate's,02/09/1999 00:00,04/26/12 14:53:44,DataEase,fishec50
303,,Zoe,,the New Age traveller,,,0,0,,,,02/09/1999 00:00,04/26/12 14:54:04,DataEase,fishec50
304,,Sarah,,Langton,,,0,0,,,reporter from the Echo,02/09/1999 00:00,09/10/2008 15:03,DataEase,fishec50
305,2,Ellen,,Rogers,,,0,0,,,Ellen was born in 1926,02/09/1999 00:00,10/26/10 10:52:26,DataEase,fishec50
306,,Edgar,,Titcombe,,,1,1,,,Married Eileen on 4/10/06,02/09/1999 00:00,02/29/08 15:44:56,DataEase,fishec50
307,,Henri,,Bergaud,,,1,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
310,,Howard,,Friend,,,0,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
311,,Jet,,The Dog,09/01/1991 00:00,,1,1,,,2007 Assume Jet has died - off air sometime.,02/09/1999 00:00,04/27/07 16:46:23,DataEase,fishec50
312,1,Walter,,Gabriel,08/25/96 00:00:00,11/03/1988 00:00,1,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
313,2,Helen,,Fairbrother,,,0,0,,,Helen was born in 1911 married 17 April 1952,02/09/1999 00:00,02/14/11 12:16:11,DataEase,fishec50
314,,Persephone,,The Goat,,,0,1,,,,02/09/1999 00:00,04/15/99 15:25:00,DataEase,fishec50
315,1,Kevin,,Shaw,,,0,1,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
316,1,,,Harrison,,,1,1,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
317,,Daniel,Mark Archer,Hebden Lloyd,11/14/94 00:00:00,,1,0,,,"From 20/11/00 Daniel was adopted by Alistair and he took his name ""Lloyd""",02/09/1999 00:00,10/18/13 15:08:31,DataEase,fishec50
318,,Eccles,,The Peacock,02/08/1993 00:00,,1,1,,,I have put his date of arrival into the birth box so we know how long he has been in Ambridge,02/09/1999 00:00,02/21/13 17:26:23,DataEase,fishec50
319,,Lisa,,the Squatter,,,0,0,,,,02/09/1999 00:00,04/26/12 14:54:24,DataEase,fishec50
320,,Craig,,the Squatter,,,1,0,,,,02/09/1999 00:00,04/26/12 14:54:33,DataEase,fishec50
321,2,Polly,Mary,Perks,05/01/1944 00:00,02/10/1982 00:00,0,0,,,Married Sid on 27/9/66,02/09/1999 00:00,05/19/04 15:40:11,DataEase,fishec50
322,4,Angi,,Phillips,,,0,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
323,,Wealden Elly,May,The Third,12/19/94 00:00:00,,0,1,,Elly May,2001 Elly May is living at Lower Loxley and running with the Gloucester Cattle.,02/09/1999 00:00,03/09/2005 17:28,DataEase,fishec50
324,,Brendan,,the singer,,,1,0,,,,02/09/1999 00:00,04/26/12 14:55:32,DataEase,fishec50
325,4,Gina,,Richardson,,,0,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
326,,Andrew,,the director,,,1,0,,,Director of the Opera at Lower Loxley.,02/09/1999 00:00,04/26/12 14:55:47,DataEase,fishec50
328,1,Dave,,Walker,,,1,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
329,,Moonlight,,The Horse,,08/26/03 00:00:00,1,1,,,,02/09/1999 00:00,11/07/2003 16:52,DataEase,fishec50
330,,Trudy,,Porter,,,0,1,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
331,,Nora,,McAuley,,,0,0,,,,02/09/1999 00:00,03/21/01 12:26:36,DataEase,fishec50
332,3,Trina,,Muir,,,0,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
333,,Portia,,The Dog,,01/18/99 00:00:00,0,1,,,,02/09/1999 00:00,04/15/99 15:24:12,DataEase,fishec50
334,,Molly,,The Pig,,08/06/2002 00:00,0,1,,,,02/09/1999 00:00,08/18/05 15:59:52,DataEase,fishec50
335,,Frederick,,Danby,,,1,0,,Freddie or Colonel,Freddie was born in 1912,02/09/1999 00:00,03/30/99 16:13:52,DataEase,fishec50
336,1,Jethro,,Larkin,08/28/24 00:00:00,06/17/87 00:00:00,1,0,,,,02/09/1999 00:00,08/08/2000 12:51,DataEase,fishec50
337,6,Ben,,Jones,,,1,1,,,,02/09/1999 00:00,04/15/99 14:50:09,DataEase,fishec50
338,1,Graham,,Ryder,,,1,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
339,1,Geoff,,Williams,,,1,1,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
340,2,Heather,,Pritchard,,,0,0,,,,02/09/1999 00:00,02/13/02 14:34:14,DataEase,fishec50
341,1,Enoch,,Grundy,,,1,1,,,,02/09/1999 00:00,04/15/99 10:35:57,DataEase,fishec50
344,1,,,Maitland,,,1,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
345,,Maisie,,The Horse,04/03/1995 00:00,,0,1,,,Caroline's horse is older than the DOB given that was the date Caroline got her,02/09/1999 00:00,08/28/13 14:23:39,DataEase,fishec50
346,,Hayley,Louise,Tucker,05/01/1977 00:00,,0,0,,,Roy and Hayely Tucker married 07.5.01,02/09/1999 00:00,04/22/08 10:15:40,DataEase,fishec50
351,,Jean,,Francois,,,1,1,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
352,,Spanner,,Bridges,,,1,0,,Spanner,,02/09/1999 00:00,09/21/06 10:59:25,DataEase,fishec50
353,,,,Craven,,,1,0,,,,02/09/1999 00:00,04/15/99 11:55:32,DataEase,fishec50
355,,Gareth,,Taylor,,,1,0,,Owen King,When he first moved to Ambridge he said his name was Owen King but after Kathy's rape and his arrest it turned out that his real name was Gareth Taylor,02/09/1999 00:00,02/13/08 11:15:22,DataEase,fishec50
357,,Jamie,Benjamin,Perks,07/20/95 00:00:00,,1,0,,Jamie,,02/09/1999 00:00,05/02/2007 10:23,DataEase,fishec50
359,,Sandy,,the student,,,0,0,,,,02/09/1999 00:00,04/26/12 14:56:47,DataEase,fishec50
361,,Derek,,Ashton,,,1,1,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
362,1,Tommy,,Croker,,,1,1,,,,02/09/1999 00:00,04/15/99 11:59:00,DataEase,fishec50
363,,Wendy,,the waitress,,,0,1,,,Waitress at the Bull - 1995,02/09/1999 00:00,04/26/12 14:57:08,DataEase,fishec50
364,1,Shiv,,Gupta,,,1,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
365,,Edith,,French,,,0,1,,,,02/09/1999 00:00,04/26/12 14:57:34,DataEase,fishec50
366,6,Janet,Eleanor,Fisher,,,0,0,,,Married Tim 3/5/03,02/09/1999 00:00,07/20/05 10:39:02,DataEase,fishec50
367,1,Jolyon,,Gibson,,,1,0,,Gibson,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
368,1,Harry,,Roberts,,,1,1,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
369,1,Derek,,Fletcher,,,0,1,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
370,2,Carol,,Tregorran,,,0,0,,,Married John 1/2/67,02/09/1999 00:00,05/14/10 18:20:17,DataEase,fishec50
372,1,Jim,,Granger,,,1,1,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
373,2,Harriet,,Williams,,,0,1,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
374,2,Susan,,Grundy,03/06/2023 00:00,,0,1,,,"Susan died in 1969
Eddie and Clarrie's wedding she may have died in Feb. 1960",02/09/1999 00:00,09/30/11 16:20:35,DataEase,fishec50
375,,Sean,,Myerson,,,1,0,,,,02/09/1999 00:00,04/10/2007 12:39,DataEase,fishec50
376,3,Jackie,,Woodstock,,,0,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
377,,Eva,,Coverdale,,,0,0,,,Eva was born in 1959,02/09/1999 00:00,04/10/2008 10:21,DataEase,fishec50
378,1,George,Edward,Fairbrother,,,1,0,,,George Fairbrother was born in 1906. Grace Archer's father,02/09/1999 00:00,09/21/05 14:55:03,DataEase,fishec50
380,1,Robin,Edward,Fairbrother,02/06/1953 00:00,,1,1,,,,02/09/1999 00:00,04/15/99 12:15:04,DataEase,fishec50
381,3,Helen,,Fairlie,,,0,1,,,Helen was born in 1908,02/09/1999 00:00,04/15/99 12:15:21,DataEase,fishec50
382,1,Henry,,Featherstone,,,1,0,,,Bookshop owner in 1966,02/09/1999 00:00,07/12/2013 17:14,DataEase,fishec50
383,1,Duncan,,Fenner-Brockman,,,1,1,,,,02/09/1999 00:00,04/15/99 12:15:46,DataEase,fishec50
384,2,Sheila,,Fergusson,,,0,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
385,,John & Susan,,Fielding,,,0,1,,,,02/09/1999 00:00,04/15/99 12:17:06,DataEase,fishec50
386,2,,,Flanders,,,0,1,,,,02/09/1999 00:00,04/15/99 12:18:24,DataEase,fishec50
387,2,Pat,,Fletcher,,,0,1,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
388,2,Rita,,Flynn,12/30/25 00:00:00,,0,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
389,1,,,Forsyth,,,1,1,,,,02/09/1999 00:00,04/15/99 12:22:18,DataEase,fishec50
390,2,Ann,,Foster,,,0,1,,,,02/09/1999 00:00,04/15/99 12:23:45,DataEase,fishec50
391,1,John,,Foster,,,1,1,,,,02/09/1999 00:00,04/15/99 12:23:06,DataEase,fishec50
392,,Frances,,The girlfriend of David,,,0,0,,Fran,Fran was born in 1955.,02/09/1999 00:00,04/26/12 17:02:12,DataEase,fishec50
393,1,Basil,,Franklin,,,1,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
394,1,Alan,,Fraser,,,1,0,,,Alan was born in 1951,02/09/1999 00:00,04/15/99 09:57:55,DataEase,fishec50
395,3,Ann,,Fraser,,,0,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
397,1,Robin,,Freeman,,,1,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
398,2,Zoe,,Freeman,,,0,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
399,,Nick,,the Solicitor,,,1,1,,,,02/09/1999 00:00,04/26/12 14:58:26,DataEase,fishec50
400,2,Annie,,Garland,,,0,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
401,1,Bert,,Garland,,,1,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
402,1,Harold,,Gadsby,,,1,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
403,19,Denise,,Garonne,,,0,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
404,1,Albert,Thomas,Gibbs,,,1,0,,Bert,Albert was born in 1920,02/09/1999 00:00,04/05/2005 18:13,DataEase,fishec50
405,3,Karen,,Irving,,,0,1,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
406,10,,,Lawrence,,,1,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
408,1,,,Meadows,,,1,1,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
409,2,Eileen,,Titcombe,,,0,1,,was Mrs Pugsley,Married Titcombe on 4/10/06,02/09/1999 00:00,12/11/2006 12:31,DataEase,fishec50
410,1,Bill,,Thomas,,,0,1,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
411,1,,,Pugsley,,,1,1,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
412,6,Richard,,Adamson,03/15/43 00:00:00,,1,0,,Richard,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
413,,Dorothy,,Adamson,01/14/45 00:00:00,,0,0,,,,02/09/1999 00:00,06/08/2000 10:59,DataEase,fishec50
414,1,Michael,,Adamson,12/07/1968 00:00,,1,1,,,Established he plays the trumpet. (8540),02/09/1999 00:00,11/29/11 17:11:25,DataEase,wards50
415,3,Rachel,,Adamson,01/19/67 00:00:00,,0,1,,,"1983 - is at Borchester Grammar, in the sixth form. Is in the tennis team.
1984 - she hasn't got a boyfriend.
1985 - Took her A levels.
From September 1986 - studying English Lit. at Lancaster University.",02/09/1999 00:00,11/29/11 17:14:09,DataEase,wards50
416,,The Echo,,Newspaper,,,0,1,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
417,,Gyp,,The Dog,,10/24/96 00:00:00,1,1,,,,02/09/1999 00:00,04/15/99 15:24:18,DataEase,fishec50
418,6,John,,Ridley,,,1,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
419,,Monty,,The Boar,,,1,1,,,,02/09/1999 00:00,04/15/99 15:23:36,DataEase,fishec50
420,,Shelley,,the Receptionist,,,0,1,,,,02/09/1999 00:00,04/26/12 14:59:08,DataEase,fishec50
421,,Autolycus,,The Horse,,,1,1,,Tolly,Sold off air sometime before 2011,02/09/1999 00:00,09/15/11 11:49:30,DataEase,fishec50
422,,Harold,,The Bull,,,1,1,,Harold,,02/09/1999 00:00,04/15/99 15:23:45,DataEase,fishec50
423,1,George,,Harper,07/01/2020 00:00,,1,1,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
424,,Peter,,The barman,,,1,1,,,Works at The Cat and Fiddle,02/09/1999 00:00,04/26/12 14:42:17,DataEase,fishec50
425,2,Irene,,Barraclough,,07/09/1996 00:00,0,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
426,,Suzy,,Wilcox,,,0,1,,,,02/09/1999 00:00,04/10/2007 12:41,DataEase,fishec50
427,1,Ken,,Barraclough,,,0,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
429,,Charlie,,The Dog,10/01/1989 00:00,07/12/2006 00:00,0,1,,,,02/09/1999 00:00,06/04/2007 14:55,DataEase,fishec50
430,1,,,Langford,,,1,1,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
431,1,Terry,,Wogan,,,1,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
432,2,Polly,,Perkins,03/06/2005 00:00,05/03/1991 00:00,0,0,,Mrs P,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
433,1,Al,,Clancy,,,1,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
434,2,Mary-Jo,,Clancy,,,0,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
435,,Hermes,,The Dog,06/25/90 00:00:00,05/23/05 00:00:00,1,1,,,Afghan - runt of Portia's litter,02/09/1999 00:00,01/30/06 11:40:38,DataEase,fishec50
436,,Florrie,,Jenkins,,,0,1,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
437,,Rocco,,the interior designer,,,1,1,,Rocco,,02/09/1999 00:00,04/26/12 15:03:28,DataEase,fishec50
438,1,Edward,,Antrobus,,,1,1,,Teddy,,02/09/1999 00:00,04/15/99 10:44:31,DataEase,fishec50
439,,Freda,,The Pig,,03/13/92 00:00:00,0,1,,,,02/09/1999 00:00,08/18/05 16:03:36,DataEase,fishec50
440,,Tony,,Hipgrave,,,1,1,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
441,1,Jerry,,Buckle,,,1,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
442,1,Laurence,,Lovell,,,1,0,,Larry,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
443,2,Margaret,,Jarrett,,,0,1,,,Margaret was born in 1941,02/09/1999 00:00,04/15/99 14:48:49,DataEase,fishec50
444,2,Irene,,Jenkins,,,0,1,,,,02/09/1999 00:00,04/15/99 14:49:12,DataEase,fishec50
445,,Jimmy,,Mrs Turvey's great-nephew,,,1,0,,,Mrs Turvey's great-nephew,02/09/1999 00:00,04/26/12 15:03:41,DataEase,fishec50
446,,Joan,,Mead,,,0,1,,,,02/09/1999 00:00,04/26/12 15:03:57,DataEase,fishec50
447,,John,,The farmhouse cheeses distributor,,,1,1,,,The farmhouse cheeses distributor who's taking the yoghurt from Bridge Farm in his refrigerated van.,02/09/1999 00:00,04/26/12 14:45:04,DataEase,fishec50
448,,Johnny,,the child,,,1,1,,,,02/09/1999 00:00,04/26/12 14:45:48,DataEase,fishec50
449,4,Penelope,,Booth,,,0,1,,Penny,,02/09/1999 00:00,04/15/99 11:14:17,DataEase,fishec50
450,,Tina,,the bargirl,,,0,1,,,,02/09/1999 00:00,04/26/12 15:04:16,DataEase,fishec50
